forecast_column,source,release,exact_location,published_horizon,quarterly_conversion,terminal_rule,url
Lpop,Centre for Population,Population Statement: National Population Projections 2024-25 to 2035-36,"PROJECTIONS sheet: natural increase, NOM and population at end of year",2035-36,annual ERP interpolated to quarterly,two-quarter terminal extension,https://population.gov.au/data-and-forecasts/projections
Lpop15Plus,Centre for Population,Population Statement: National Population Projections by Age and Sex 2024-25 to 2035-36,"PROJECTIONS sheet: Persons ages 15-100 summed for each financial year",2035-36,published 15-plus share applied to the Lpop path,two-quarter terminal share hold,https://population.gov.au/data-and-forecasts/projections
Cgov,Australian Budget 2026-27,Budget Paper No. 1 Statement 2 Table 2.2,"public final demand forecasts (aggregate growth applied proportionally)",2027-28,aggregate public-demand growth applied to the historical path,constant real per capita after the source horizon,https://budget.gov.au/content/bp1/index.htm
Igov,Australian Budget 2026-27,Budget Paper No. 1 Statement 2 Table 2.2,"public final demand forecasts (aggregate growth applied proportionally)",2027-28,aggregate public-demand growth applied to the historical path,constant real per capita after the source horizon,https://budget.gov.au/content/bp1/index.htm
Ipubent,Australian Budget 2026-27,Budget Paper No. 1 Statement 2 Table 2.2,"public final demand forecasts (aggregate growth applied proportionally)",2027-28,aggregate public-demand growth applied to the historical path,constant real per capita after the source horizon,https://budget.gov.au/content/bp1/index.htm
IvtFar,model closure,n/a,Treasury zero total inventory contribution informs a zero neutral closure,n/a,n/a,zero neutral closure,n/a
Lnom,Australian Budget 2026-27 then Centre for Population,Budget Paper No. 1 Statement 2 Table 2.2 and footnote; Population Statement projections,"NOM forecasts; footnote supplies 2028-29 and 2029-30; Centre for Population thereafter",2029-30 then 2035-36,annual total divided by four,two-quarter terminal carry,https://budget.gov.au/content/bp1/index.htm
IntStu,Department of Education,International students year-to-date data and managed system,"December 2025 actual new-student total; May 2026 count and published 6 per cent year-to-date decline",2026,observed decline extrapolated; 295000 planning ceiling retained only as a policy ceiling and not a forecast,hold,https://www.education.gov.au/international-education-data-and-research/resources/international-student-data-yeardate-ytd
Fpcpi,IMF World Economic Outlook,April 2026 database,"Country Groups: G7 CPI",IMF published horizon,official inflation forecast compounded quarterly,two per cent terminal inflation,https://data.imf.org/Datasets/WEO
Fpoil,IMF World Economic Outlook,April 2026 database,"Commodity Prices: APSP oil",IMF published horizon,annual forecast interpolated to quarterly,hold terminal level,https://data.imf.org/Datasets/WEO
Fpcom,IMF World Economic Outlook,April 2026 database,"Commodity Prices: all commodities",IMF published horizon,rebased and deflated,hold terminal real level,https://data.imf.org/Datasets/WEO
Fpagr,IMF World Economic Outlook,April 2026 database,"Commodity Prices: agricultural raw materials",IMF published horizon,rebased,hold terminal level,https://data.imf.org/Datasets/WEO
FcGdp,IMF World Economic Outlook then OECD long-run scenarios,April 2026 database; OECD LTS 2025 update,"Countries: China real GDP growth; LTS-2025 potential-output growth (BAU1)",IMF horizon then long run,official medium- and long-run growth interpolated quarterly,OECD long-run potential growth,https://data.imf.org/Datasets/WEO
FcPpp,IMF World Economic Outlook,April 2026 database,"Countries: China implied PPP conversion rate",IMF published horizon,rebased,hold terminal level,https://data.imf.org/Datasets/WEO
Fr10yUs,OECD Economic Outlook,June 2026 statistical annex,"Long_term_Interest_Rates sheet: United States",2027,annual rate held through the forecast,hold terminal rate,https://www.oecd.org/en/topics/sub-issues/economic-outlook/oecd-economic-outlook-statistical-annex.html
Fr10yJp,OECD Economic Outlook,June 2026 statistical annex,"Long_term_Interest_Rates sheet: Japan",2027,annual rate held through the forecast,hold terminal rate,https://www.oecd.org/en/topics/sub-issues/economic-outlook/oecd-economic-outlook-statistical-annex.html
Fr10yDe,OECD Economic Outlook,June 2026 statistical annex,"Long_term_Interest_Rates sheet: Germany",2027,annual rate held through the forecast,hold terminal rate,https://www.oecd.org/en/topics/sub-issues/economic-outlook/oecd-economic-outlook-statistical-annex.html
Fr10yUk,OECD Economic Outlook,June 2026 statistical annex,"Long_term_Interest_Rates sheet: United Kingdom",2027,annual rate held through the forecast,hold terminal rate,https://www.oecd.org/en/topics/sub-issues/economic-outlook/oecd-economic-outlook-statistical-annex.html
